name,fda_verified,fda_generic_name,fda_brand_names,brand,class,subclass,mechanism,route,fda_route,fda_dosage_form,half_life_hr_min,half_life_hr_max,protein_binding_pct,bioavailability_pct,renal_excretion_pct,primary_enzyme,secondary_enzymes,narrow_ti,max_daily_dose_mg,therapeutic_range,monitoring,pregnancy_cat,food_effect,contraindications,notes,fda_warnings_text,fda_contraindications_text,fda_drug_interactions_text,fda_pregnancy_text,top_adverse_reactions,fda_rxcui,fda_ndc,fda_manufacturer
warfarin,True,WARFARIN SODIUM,Warfarin Sodium,Coumadin|Jantoven,anticoagulant,vitamin K antagonist,"Inhibits VKORC1, reducing active vitamin K for clotting factors II, VII, IX, X",oral,ORAL,,36,42,99,93,2,CYP2C9,CYP3A4|CYP1A2,True,15,INR 2.0-3.0 (general); 2.5-3.5 (mechanical valves),"INR weekly until stable, then monthly|Signs of bleeding",X,Vitamin K (leafy greens) antagonizes effect — maintain consistent intake. Grapefruit irrelevant.,active bleeding|pregnancy|uncontrolled hypertension,CYP2C9 *2/*3 polymorphisms reduce metabolism → need lower dose,,"4 CONTRAINDICATIONS Warfarin sodium is contraindicated in: Pregnancy Warfarin sodium is contraindicated in women who are pregnant except in pregnant women with mechanical heart valves, who are at high risk of thromboembolism [see Warnings and Precautions ( 5.7 ) and Use in Specific Populations ( 8.1","7 DRUG INTERACTIONS Concomitant use of drugs that increase bleeding risk, antibiotics, antifungals, botanical (herbal) products, and inhibitors and inducers of CYP2C9, 1A2, or 3A4. ( 7 ) Consult labeling of all concurrently used drugs for complete information about interactions with warfarin sodium or increased risks for bleeding. ( 7 ) 7.1 General Information Drugs may interact with warfarin sodi","8.1 Pregnancy Risk Summary Warfarin sodium is contraindicated in women who are pregnant except in pregnant women with mechanical heart valves, who are at high risk of thromboembolism, and for whom the",INTERNATIONAL NORMALISED RATIO INCREASED|DYSPNOEA|DRUG INTERACTION|FATIGUE|DIARRHOEA|NAUSEA|DIZZINESS|DRUG INEFFECTIVE,855288|855296|855302,0093-1712|0093-1713,"Teva Pharmaceuticals USA, Inc."
heparin,True,HEPARIN SODIUM,Heparin Sodium,Heparin Sodium,anticoagulant,unfractionated heparin,"Activates antithrombin III, inhibiting thrombin and Xa",IV|subcutaneous,INTRAVENOUS|SUBCUTANEOUS,,1,2,80,100,10,,,True,,aPTT 60-100s or anti-Xa 0.3-0.7 IU/mL,aPTT q6h initially|Platelets for HIT (days 4-14)|CBC,C,None,,HIT risk — monitor platelets. Protamine reversal available.,,4 CONTRAINDICATIONS The use of Heparin Sodium Injection is contraindicated in patients with the following conditions: History of heparin-induced thrombocytopenia and heparin-induced thrombocytopenia and thrombosis [see Warnings and Precautions ( 5.3 )] ; Known hypersensitivity to heparin or pork pro,"7 DRUG INTERACTIONS Drugs that interfere with platelet aggregation: May induce bleeding ( 7.2 ) 7.1 Oral Anticoagulants Heparin sodium may prolong the one-stage prothrombin time. Therefore, when heparin sodium is given with dicumarol or warfarin sodium, a period of at least 5 hours after the last intravenous dose or 24 hours after the last subcutaneous dose should elapse before blood is drawn, if ","8.1 Pregnancy Risk Summary There are no available data on Heparin Sodium Injection use in pregnant women to inform a drug-associated risk of major birth defects and miscarriage. In published reports, ",DRUG INEFFECTIVE|HEPARIN-INDUCED THROMBOCYTOPENIA|OFF LABEL USE|NAUSEA|PAIN|RENAL FAILURE|DYSPNOEA|HYPOTENSION,1361226|1361615|1362831,71288-402|71288-449,Meitheal Pharmaceuticals Inc.
rivaroxaban,True,RIVAROXABAN,Xarelto|XARELTO,Xarelto,anticoagulant,direct Xa inhibitor,"Direct inhibition of factor Xa, no antithrombin required",oral,ORAL,,5,9,92,66,36,CYP3A4,P-gp,True,30,Anti-Xa 0.5-2.0 IU/mL (not routinely monitored),Renal function annually|Bleeding signs,C,15mg/20mg doses must be taken WITH food (fat increases absorption 39%). 10mg can be taken without food.,,Avoid if CrCl <15. P-gp and CYP3A4 inhibitors increase exposure.,,"4 CONTRAINDICATIONS XARELTO is contraindicated in patients with: active pathological bleeding [see Warnings and Precautions (5.2) ] severe hypersensitivity reaction to XARELTO (e.g., anaphylactic reactions) [see Adverse Reactions (6.2) ] Active pathological bleeding ( 4 ) Severe hypersensitivity rea","7 DRUG INTERACTIONS Avoid combined P-gp and strong CYP3A inhibitors and inducers ( 7.2 , 7.3 ) Anticoagulants: Avoid concomitant use ( 7.4 ) 7.1 General Inhibition and Induction Properties Rivaroxaban is a substrate of CYP3A4/5, CYP2J2, and the P-gp and ATP-binding cassette G2 (ABCG2) transporters, the latter also known as breast cancer resistance protein (BCRP). Combined P-gp and strong CYP3A inh",8.1 Pregnancy Risk Summary The limited available data on XARELTO in pregnant women are insufficient to inform a drug-associated risk of adverse developmental outcomes. Use XARELTO with caution in preg,DYSPNOEA|DRUG INTERACTION|ANAEMIA|OFF LABEL USE|DRUG INEFFECTIVE|PULMONARY EMBOLISM|FATIGUE|GASTROINTESTINAL HAEMORRHAGE,1114198|1114202|1232082,50458-575|50458-577,"Janssen Pharmaceuticals, Inc."
apixaban,True,APIXABAN,apixaban,Eliquis,anticoagulant,direct Xa inhibitor,Direct inhibition of factor Xa,oral,ORAL,,8,15,87,50,27,CYP3A4,P-gp,True,20,Not routinely monitored,Renal function|Bleeding,C,Can be taken with or without food,,Andexanet alfa reversal available.,,"4 CONTRAINDICATIONS Apixaban tablets are contraindicated in patients with the following conditions: • Active pathological bleeding [see Warnings and Precautions ( 5.2 ) and Adverse Reactions( 6.1) ] • Severe hypersensitivity reaction to apixaban (e.g., anaphylactic reactions) [see Adverse Reactions ",7 DRUG INTERACTIONS Apixaban is a substrate of both CYP3A4 and P-gp. Inhibitors of CYP3A4 and P-gp increase exposure to apixaban and increase the risk of bleeding. Inducers of CYP3A4 and P-gp decrease exposure to apixaban and increase the risk of stroke and other thromboembolic events. Combined P-gp and strong CYP3A4 inhibitors increase blood levels of apixaban. Reduce apixaban dose or avoid coadm,"8.1 Pregnancy Risk Summary The limited available data on apixaban tablets use in pregnant women are insufficient to inform drug-associated risks of major birth defects, miscarriage, or adverse develop",ATRIAL FIBRILLATION|DYSPNOEA|CEREBROVASCULAR ACCIDENT|THROMBOSIS|OFF LABEL USE|CARDIAC DISORDER|DEATH|FALL,1364435|1364445,14445-149|14445-150,Indoco Remedies Limited
amlodipine,True,AMLODIPINE BESYLATE,Amlodipine Besylate,Norvasc,antihypertensive,calcium channel blocker (dihydropyridine),Blocks L-type calcium channels in vascular smooth muscle → vasodilation,oral,ORAL,,30,50,97,64,3,CYP3A4,,False,10,BP <130/80 mmHg,BP|Heart rate|Peripheral edema,C,"Grapefruit juice inhibits intestinal CYP3A4 → Cmax +35%, AUC +40%. Avoid entirely.",,Long half-life → once daily dosing. Minimal negative inotropy vs non-DHP CCBs.,,4 CONTRAINDICATIONS Known sensitivity to amlodipine ( 4 ) Amlodipine besylate tablets are contraindicated in patients with known sensitivity to amlodipine.,7 DRUG INTERACTIONS Do not exceed doses greater than 20 mg daily of simvastatin. ( 7.2 ) 7.1 Impact of Other Drugs on Amlodipine CYP3A Inhibitors Co-administration with CYP3A inhibitors (moderate and strong) results in increased systemic exposure to amlodipine and may require dose reduction. Monitor for symptoms of hypotension and edema when amlodipine is co-administered with CYP3A inhibitors to d,8.1 Pregnancy Risk Summary The limited available data based on post-marketing reports with amlodipine use in pregnant women are not sufficient to inform a drug-associated risk for major birth defects ,FATIGUE|DIARRHOEA|NAUSEA|DYSPNOEA|DRUG INEFFECTIVE|OFF LABEL USE|DIZZINESS|HEADACHE,197361|308135|308136,68180-233|68180-750,"Lupin Pharmaceuticals, Inc."
lisinopril,True,LISINOPRIL AND HYDROCHLOROTHIAZIDE TABLETS,Lisinopril and Hydrochlorothiazide,Prinivil|Zestril,antihypertensive,ACE inhibitor,Inhibits angiotensin-converting enzyme → reduces angiotensin II,oral,ORAL,,12,12,0,25,90,,,False,40,BP <130/80 mmHg,"BP|Renal function (Cr, K+) at 1-2 weeks after start|Cough",D,"Potassium-rich foods (bananas, oranges) may increase hyperkalemia risk",,Reduce dose in CrCl <30. Contraindicated in pregnancy (teratogenic). ACE cough in 10-15%.,"WARNINGS General Lisinopril Anaphylactoid and Possibly Related Reactions: Presumably because angiotensin-converting enzyme inhibitors affect the metabolism of eicosanoids and polypeptides, including endogenous bradykinin, patients receiving ACE inhibitors (including lisinopril and hydrochlorothiazid",CONTRAINDICATIONS Lisinopril and hydrochlorothiazide tablets are contraindicated in patients who are hypersensitive to any component of this product and in patients with a history of angioedema related to previous treatment with an angiotensin converting enzyme inhibitor and in patients with heredit,"Drug Interactions Lisinopril Hypotension - Patients on Diuretic Therapy: Patients on diuretics and especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with lisinopril. The possibility of hypotensive effects with lisinopril can be minimized by either discontinuing the diuretic or increasi",,FATIGUE|NAUSEA|DRUG INEFFECTIVE|DIARRHOEA|DYSPNOEA|DIZZINESS|PAIN|HEADACHE,197885,60760-586,ST. MARY'S MEDICAL PARK PHARMACY
enalapril,True,ENALAPRIL MALEATE,Enalapril Maleate,Vasotec,antihypertensive,ACE inhibitor,Prodrug → enalaprilat inhibits ACE,oral|IV,ORAL,,11,11,50,60,88,,,False,40,BP <130/80 mmHg,BP|Cr|K+,D,Food delays Tmax but does not affect AUC,,Requires renal activation. Monitor K+ especially with K-sparing diuretics.,"WARNINGS Anaphylactoid and Possibly Related Reactions Presumably because angiotensin-converting enzyme inhibitors affect the metabolism of eicosanoids and polypeptides, including endogenous bradykinin, patients receiving ACE inhibitors (including enalapril maleate) may be subject to a variety of adv",CONTRAINDICATIONS Enalapril maleate is contraindicated in patients who are hypersensitive to this product and in patients with a history of angioedema related to previous treatment with an angiotensin-converting enzyme inhibitor and in patients with hereditary or idiopathic angioedema. Do not coadmi,"Drug Interactions Neprilysin Inhibitors Patients taking concomitant neprilysin inhibitors may be at increased risk for angioedema (see WARNINGS ). Dual Blockade of the Renin-Angiotensin System (RAS) Dual blockade of the RAS with angiotensin receptor blockers, ACE inhibitors, or aliskiren is associated with increased risks of hypotension, hyperkalemia, and changes in renal function (including acute","Pregnancy Nursing Mothers Enalapril and enalaprilat have been detected in human breast milk. Because of the potential for serious adverse reactions in nursing infants from enalapril, a decision should",DIARRHOEA|DYSPNOEA|NAUSEA|DRUG INTERACTION|DRUG INEFFECTIVE|FATIGUE|DIZZINESS|ACUTE KIDNEY INJURY,858817,51407-828,"Golden State Medical Supply, Inc."
losartan,True,LOSARTAN POTASSIUM,Losartan Potassium,Cozaar,antihypertensive,ARB,Blocks AT1 angiotensin II receptor,oral,ORAL,,6,9,99,33,13,CYP2C9,CYP3A4,False,100,BP <130/80,BP|K+|Cr,D,AUC reduced ~10% with high-fat meal — clinically insignificant,,Active metabolite EXP3174 is more potent. Less cough than ACEi.,,4 CONTRAINDICATIONS Losartan potassium is contraindicated: • In patients who are hypersensitive to any component of this product. • For coadministration with aliskiren in patients with diabetes. • Hypersensitivity to any component. (4) • Coadministration with aliskiren in patients with diabetes. (4),"7 DRUG INTERACTIONS • Agents Increasing Serum Potassium: Risk of hyperkalemia. (7.1) • Lithium: Risk of lithium toxicity. (7.2) • NSAIDs: Increased risk of renal impairment and reduced diuretic, natriuretic, and antihypertensive effects. (7.3) • Dual Inhibition of the Renin-Angiotensin System: Increased risk of renal impairment, hypotension, syncope, and hyperkalemia. (7.4) 7.1 Agents Increasing S",8.1 Pregnancy Risk Summary Losartan potassium can cause fetal harm when administered to a pregnant woman. Use of drugs that act on the renin-angiotensin system during the second and third trimesters o,FATIGUE|DIARRHOEA|NAUSEA|DRUG INEFFECTIVE|DYSPNOEA|DIZZINESS|HEADACHE|PAIN,979480|979485|979492,55154-2089|55154-4783,"Cardinal Health 107, LLC"
metoprolol,True,METOPROLOL TARTRATE,Metoprolol Tartrate,Lopressor|Toprol-XL,antihypertensive,beta-1 selective blocker,Selectively blocks beta-1 adrenergic receptors,oral|IV,ORAL,,3,7,12,50,5,CYP2D6,,False,400,Resting HR 55-65 bpm,HR|BP|Bronchospasm in asthma,C,Food increases AUC ~40% for immediate release — take with food for consistency,,CYP2D6 PMs have 4-5x higher concentrations. Taper on discontinuation.,,"4 CONTRAINDICATIONS Metoprolol tartrate tablets are contraindicated in severe bradycardia, second- or third-degree heart block, cardiogenic shock, systolic blood pressure <100, decompensated heart failure, sick sinus syndrome (unless a permanent pacemaker is in place), and in patients who are hypers","7 DRUG INTERACTIONS Catecholamine-depleting drugs may have an additive effect when given with beta-blocking agents. ( 7.1 ) Patients may be unresponsive to the usual doses of epinephrine used to treat allergic reaction. ( 7.2 ) CYP2D6 Inhibitors are likely to increase metoprolol concentration. ( 7.3 ) Concomitant use of glycosides, clonidine, and diltiazem and verapamil with beta-blockers can incr",8.1 Pregnancy Risk Summary Available data from published observational studies have not demonstrated an association of adverse developmental outcomes with maternal use of metoprolol during pregnancy (,FATIGUE|DYSPNOEA|DIARRHOEA|NAUSEA|DRUG INEFFECTIVE|DIZZINESS|OFF LABEL USE|DEATH,866924,43063-927,"PD-Rx Pharmaceuticals, Inc."
atenolol,True,ATENOLOL,Atenolol,Tenormin,antihypertensive,beta-1 selective blocker,Selective beta-1 adrenergic blockade,oral,ORAL,,6,9,3,50,85,,,False,100,HR 55-65 bpm,HR|BP|Renal function,D,Food reduces Cmax 20% but AUC unchanged,,"Hydrophilic — renal excretion, reduce dose in renal impairment. Less CNS effects than propranolol.","WARNINGS Cardiac Failure Sympathetic stimulation is necessary in supporting circulatory function in congestive heart failure, and beta-blockade carries the potential hazard of further depressing myocardial contractility and precipitating more severe failure. In patients with acute myocardial infarct","CONTRAINDICATIONS Atenolol tablets are contraindicated in sinus bradycardia, heart block greater than first degree, cardiogenic shock, and overt cardiac failure. (See WARNINGS .) Atenolol tablets are contraindicated in those patients with a history of hypersensitivity to the atenolol or any of the d","Drug Interactions Catecholamine-depleting drugs (e.g., reserpine) may have an additive effect when given with beta-blocking agents. Patients treated with atenolol plus a catecholamine depletor should therefore be closely observed for evidence of hypotension and/or marked bradycardia which may produce vertigo, syncope, or postural hypotension. Calcium channel blockers may also have an additive effe",Pregnancy See WARNINGS - Pregnancy and Fetal Injury .,DRUG INEFFECTIVE|NAUSEA|FATIGUE|DIARRHOEA|DIZZINESS|DYSPNOEA|HEADACHE|PAIN,197379,71335-2531,Bryant Ranch Prepack
