drug_a,drug_b,severity,confidence,mechanism,direction,auc_ratio,management,onset_hrs,references
warfarin,aspirin,0.85,0.95,Additive anticoagulation + platelet inhibition,synergizes,,Avoid combination unless benefit proven (e.g. mechanical valve); use PPI for GI protection,1,PMID 15998703|FDA Label
warfarin,amiodarone,0.9,0.98,Amiodarone inhibits CYP2C9 → warfarin metabolism reduced → INR increases,increases,2.5,Reduce warfarin dose 35-65%. Monitor INR twice weekly for 4 weeks.,48,PMID 3513566|FDA Label Cordarone
warfarin,fluconazole,0.88,0.97,Fluconazole strongly inhibits CYP2C9 → warfarin AUC increases 2-4x,increases,3.0,Reduce warfarin dose ~50%. Daily INR monitoring during fluconazole course.,12,PMID 8706019
warfarin,metronidazole,0.82,0.93,Metronidazole inhibits CYP2C9 + reduces intestinal vitamin K,increases,2.0,Monitor INR frequently; expect warfarin dose reduction.,24,PMID 9218827
warfarin,ciprofloxacin,0.72,0.88,Ciprofloxacin inhibits CYP1A2 component of warfarin metabolism; also reduces gut vitamin K synthesis,increases,1.5,Monitor INR 2-3 days after starting ciprofloxacin and after stopping.,48,PMID 9218827
warfarin,clarithromycin,0.75,0.9,Clarithromycin inhibits CYP3A4 (minor warfarin pathway) + reduces gut flora vitamin K,increases,1.8,Monitor INR closely during course.,24,FDA Label Biaxin
simvastatin,clarithromycin,0.9,0.97,Clarithromycin MBI of CYP3A4 → simvastatin exposure increases 8-10x → rhabdomyolysis,increases,8.0,CONTRAINDICATED. Stop simvastatin during clarithromycin course. Switch to pravastatin.,12,FDA Label Zocor|PMID 10573201
atorvastatin,clarithromycin,0.8,0.95,CYP3A4 MBI → atorvastatin AUC increases 4-5x,increases,5.0,Use lowest atorvastatin dose (10mg) or switch to pravastatin/rosuvastatin.,12,FDA Label Lipitor
atorvastatin,amiodarone,0.72,0.88,Amiodarone CYP3A4 inhibition → atorvastatin AUC increases 2-3x,increases,2.5,Limit atorvastatin to 40mg/day. Monitor for myopathy.,72,FDA Safety Communication
simvastatin,amiodarone,0.82,0.92,CYP3A4 inhibition by amiodarone + P-gp inhibition → simvastatin 6x increase,increases,6.0,CONTRAINDICATED >20mg simvastatin with amiodarone. Switch to pravastatin.,72,FDA Label Zocor
