drug,food,foods_list,effect,severity,auc_change_pct,management,mechanism,reference
warfarin,vitamin_k_foods,spinach|kale|broccoli|Brussels sprouts|parsley,Vitamin K directly antagonizes warfarin anticoagulation,HIGH,,Maintain CONSISTENT vitamin K intake. Do not avoid — just keep intake stable.,Competitive pharmacodynamic antagonism at VKORC1,FDA Coumadin Label
levothyroxine,calcium_rich_foods,milk|cheese|yogurt|calcium-fortified OJ,Calcium chelates levothyroxine → absorption reduced 20-40%,HIGH,-35,Separate by 4+ hours. Take levothyroxine on empty stomach first.,GI chelation complex formation,PMID 2060551
levothyroxine,coffee,coffee|espresso,Coffee reduces levothyroxine absorption by up to 36%,HIGH,-36,Take levothyroxine 30-60 min before coffee.,Unknown — possibly tannin binding or GI motility,PMID 18490601
levothyroxine,soy,soy milk|tofu|edamame|soy protein,Soy reduces levothyroxine absorption,MODERATE,-25,Separate by 4 hours.,Phytate binding and enterohepatic circulation interference,PMID 16571790
amlodipine,grapefruit,grapefruit|grapefruit juice|Seville orange,"CYP3A4 intestinal inhibition → Cmax +35%, AUC +40%",HIGH,40,AVOID grapefruit entirely during amlodipine therapy.,Furanocoumarins in grapefruit irreversibly inhibit intestinal CYP3A4,PMID 8568566
atorvastatin,grapefruit,grapefruit|grapefruit juice,AUC increases 1.5-2.5x with large quantities,MODERATE,83,Avoid >240mL (1 cup) grapefruit juice per day.,Intestinal CYP3A4 inhibition,PMID 15140266
simvastatin,grapefruit,grapefruit|grapefruit juice,AUC increases 3-4x even with small grapefruit amounts,HIGH,300,AVOID grapefruit entirely.,Intestinal CYP3A4 inhibition,FDA Label Zocor
rivaroxaban,high_fat_meal,fatty foods|high-fat meal,15mg/20mg: food INCREASES bioavailability 39% — REQUIRED for adequate exposure,HIGH,39,15mg and 20mg doses MUST be taken with a meal. 10mg dose: with or without food.,Solubility enhancement in fed state,FDA Label Xarelto
metformin,food_generic,food|meal,Food reduces GI side effects and slows absorption (Cmax -17%) without reducing AUC,LOW,0,Take WITH meals (breakfast and dinner) to minimize GI adverse effects.,Slower gastric emptying reduces peak concentration,PMID 1888786
alendronate,any_food,any food|coffee|juice|mineral water,ANY food (or non-water drink) reduces bioavailability >90%,CRITICAL,-90,"Take with ONLY plain water (240mL), 30-60 min before first food/drink of day. Remain upright.",GI chelation and reduced absorption in alkaline pH,FDA Label Fosamax
ciprofloxacin,dairy_calcium,milk|cheese|yogurt|calcium-fortified foods|antacids,Calcium/Mg++/Al+++ chelate ciprofloxacin → absorption reduced 50-90%,HIGH,-50,Take ciprofloxacin 2 hours before or 6 hours after dairy/antacids.,Chelation of fluoroquinolone by divalent/trivalent cations,FDA Label Cipro
omeprazole,food_timing,meals|food,Must be taken before meals — food reduces absorption and requires pre-meal dosing for activation,MODERATE,-50,Take 30-60 min BEFORE breakfast (or largest meal).,Acid activation requires parietal cell activation by meal,FDA Label Prilosec
carvedilol,food_generic,food|meal,Food slows absorption → reduces orthostatic hypotension risk,LOW,0,Take WITH food to reduce postural hypotension.,Slower Cmax with food reduces initial vasodilation,FDA Label Coreg
warfarin,grapefruit,grapefruit,Grapefruit has minimal clinically significant effect on warfarin,LOW,0,No restriction needed for warfarin.,Warfarin primarily CYP2C9 — not significantly CYP3A4,Clinical pharmacology
theophylline,caffeine_foods,coffee|tea|energy drinks|cola,Caffeine and theophylline are both methylxanthines — additive toxicity,MODERATE,,"Limit caffeine intake. Monitor for tachycardia, tremor, nausea.",Additive PDE inhibition and adenosine antagonism,Clinical pharmacology
alprazolam,grapefruit,grapefruit|grapefruit juice,Grapefruit increases alprazolam AUC ~2x → excess sedation,HIGH,100,Avoid grapefruit.,Intestinal CYP3A4 inhibition,PMID 9218827
fentanyl,grapefruit,grapefruit|grapefruit juice,Grapefruit increases fentanyl exposure significantly → respiratory depression risk,HIGH,60,Avoid grapefruit during fentanyl therapy.,Intestinal CYP3A4 inhibition,Clinical pharmacology
quetiapine,grapefruit,grapefruit|grapefruit juice,Grapefruit may increase quetiapine exposure via CYP3A4 inhibition,MODERATE,40,Avoid large quantities of grapefruit.,Intestinal CYP3A4 inhibition,Clinical pharmacology
carbamazepine,grapefruit,grapefruit|grapefruit juice,"Grapefruit increases carbamazepine levels → toxicity (diplopia, ataxia)",HIGH,40,Avoid grapefruit during carbamazepine therapy.,Intestinal CYP3A4 inhibition,PMID 9218827
